고객ID,feature
10,"[0.0, 0.7229758591902177, 0.0, 0.1588165131188993, 0.01608478528801713, 0.03240224917493216, 0.0, 0.0697205932279336]"
11,"[0.01899683890075057, 0.07409591437665691, 0.0, 0.00838492939393707, 0.78242547900349141, 0.0, 0.0, 0.116096838325164]"
20,"[0.00490783444983531, 0.55597115151424154, 0.29795911490777278, 0.00444248316912776, 0.1219272442390199, 0.01270869798670871, 0.0, 0.00208347373329399]"
21,"[0.20110232138229374, 0.0167415525483752, 0.0, 0.04125794747298455, 0.58349192968445998, 0.10569007558605908, 0.0, 0.05171617332582735]"
30,"[0.0, 0.07388472150366904, 0.62877181158893644, 0.00774599107056316, 0.0, 0.0, 0.0537647654602647, 0.23583271037656672]"
31,"[0.60898102299026655, 0.0357342280795071, 0.0, 0.01180971369177604, 0.23540650993089017, 0.0, 0.0, 0.10806852530756014]"
40,"[0.0, 0.0, 0.131296498924456, 0.0172166517226374, 0.0, 0.0, 0.05012976384118918, 0.80135708551171736]"
41,"[0.0, 0.0, 0.0, 0.0065853367949436, 0.2582876135672029, 0.70028930393454916, 0.02002014988965366, 0.01481759581365068]"
50,"[0.030264851101427712, 0.125855659169417, 0.1379696236933938, 0.09808478688306217, 0.0, 0.0, 0.0, 0.6078250791526995]"
51,"[0.033708837167866906, 0.036873100684356314, 0.0, 0.6699431006531624, 0.11543488869509214, 0.10649817211679617, 0.0, 0.03754190068272616] "
60,"[0.04191034409928929, 0.7587166874842056, 0.0, 0.1127392433526409, 0.0, 0.0, 0.032785198303097556, 0.053848526760766645]"
61,"[0.0593880844733188, 0.04286739531379743, 0.0, 0.7762007261496046, 0.028773924094912917, 0.0, 0.028702482511601877, 0.0640673874567645]"
70,"[0.0, 0.09305871853699967, 0.0, 0.034091873121212785, 0.0, 0.0, 0.7557337651021997, 0.1171156432395877]"
71,"[0.028036367781911892, 0.0285194525700589, 0.0, 0.09952985183930284, 0.0, 0.0, 0.7858746844248587, 0.058039643383867724]"
80,"[0.0, 0.0, 0.0, 0.014093025117722256, 0.0, 0.0, 0.9859069748822779, 0.0]"
81,"[0.025993418494855314, 0.0, 0.0, 0.009074318583969995, 0.0, 0.0, 0.93434258001753, 0.030589682903644815] "
